Mouse ID,Treatment,Total distance travel,Velocity,Time in light,Frequency to light zone
CTL1,Control,1445.73,4.09016,240.1,49
CTL2,Control,1136.53,4.88411,175.6,37
CTL3,Control,933.295,3.3123,220.2,32
CTL4,Control,1089.37,3.22873,260.466,48
CTL5,Control,718.831,3.63846,165.832,26
CTL6,Control,1086.45,3.89087,277.864,22
CTL7,Control,1195.14,3.72052,289.83,33
CTL8,Control,939.494,3.05067,292.097,18
CTL9,Control,871.102,3.15887,278.264,21
CTL10,Control,1044.16,3.36793,311.997,20
CTL11,Control,1330.38,4.21767,317.697,18
WL1,Exercise,1164.08,3.11668,322.266,34
WL2,Exercise,1484.31,3.93334,323.1,32
WL3,Exercise,1302.08,4.42283,216.7,37
WL4,Exercise,1086.93,3.56996,231.233,42
WL5,Exercise,801.064,3.09733,236.098,39
WL6,Exercise,1056.74,4.24999,236.945,31
WL7,Exercise,740.008,2.88843,205.331,23
WL8,Exercise,804.237,2.92223,216.978,34
WL9,Exercise,807.606,2.85578,285.764,23
WL10,Exercise,1326.33,3.64112,366.796,21
WL11,Exercise,1096.58,3.51808,306.33,18
WL12,Exercise,747.965,3.62741,209.098,22
SI1,Isolation,597.763,3.84579,133.967,19
SI2,Isolation,1182.1,4.38356,223.033,31
SI3,Isolation,856.359,3.6032,226.566,17
SI4,Isolation,1015.94,4.41394,190.466,30
SI5,Isolation,388.888,1.78828,215.931,9
SI6,Isolation,893.367,2.83042,251.497,25
SI7,Isolation,942.299,3.58428,243.764,14
SI8,Isolation,1060.25,3.73989,286.197,21
SI9,Isolation,583.201,3.71154,159.665,19
SI10,Isolation,841.556,3.81431,223.031,18
SI11,Isolation,970.871,4.26698,229.898,18