Mouse ID,Treatment,Time to flick,Von frey,Latency to lick
CTL1,Control,1.86,7,2
CTL2,Control,1.43,6,4
CTL3,Control,1.13,7,4
CTL4,Control,0.8,7,7
CTL5,Control,1.8,6,5
CTL6,Control,2.56,10,5
CTL7,Control,1.69,10,5
CTL8,Control,1.77,9,4.1
CTL9,Control,1.75,9,5
CTL10,Control,1.29,9,5.5
CTL11,Control,1.56,7,2.75
WL1,Exercise,1.39,7,3
WL2,Exercise,0.95,9,2.5
WL3,Exercise,0.94,7,4
WL4,Exercise,0.91,8,5
WL5,Exercise,0.89,9,4
WL6,Exercise,2.76,12,10
WL7,Exercise,1.68,12,5
WL8,Exercise,1,11,10
WL9,Exercise,1.31,9,5
WL10,Exercise,0.96,9,5
WL11,Exercise,1.08,11,3.7
WL12,Exercise,1.56,10,5
SI1,Isolation,3.07,8,5
SI2,Isolation,1.74,7,3
SI3,Isolation,1.15,8,7
SI4,Isolation,1.14,10,4
SI5,Isolation,4.22,8,9
SI6,Isolation,1.06,10,7
SI7,Isolation,1.62,11,7
SI8,Isolation,2.12,13,9.5
SI9,Isolation,1.67,12,9
SI10,Isolation,1.34,12,6
SI11,Isolation,3.65,12,5.75